# shortcut;full_name_en;full_name_jp;sex;role;decks
dm
Yugi;Yugi Muto;Yugi Muto;M;main;Dark Magician/Magnet Warriors/Black Luster Soldier
Mai;Mai Valentine;Mai Kujaku;F;main;Harpie Lady
Marik;Marik Ishar;Marik Ishtar;M;villain;Winged Dragon of Ra
Ishizu;Ishizu Ishtar;Ishizu Ishtar;F;main;Gravekeeper's
Joey;Joey Wheeler;Jonouchi Katsuya;M;main;Red-Eyes/Warrior
Kaiba;Seto Kaiba;Seto Kaiba;M;main;Blue-Eyes/Union
Rex;Rex Raptor;Ryuzaki Dinosaur;M;villain;Dinosaur
Weevil;Weevil Underwood;Haga Insector;M;villain;Insect
Bakura;Ryou Bakura;Ryou Bakura;M;villain;Destiny Board
Gozaburo;Gozaburo Kaiba;Gozaburo Kaiba;M;side;Exodia Necross
Pegasus;Maximillion Pegasus;Pegasus J. Crawford;M;villain;Toon/Relinquished
Mako;Mako Tsunami;Kajiki Ryota;M;side;WATER
Leon;Leon von Schroeder;Leonhart von Schroider;M;side;Fairytale
Zigfried;Zigfried Von Schroeder;Zigfried von Schroeder;M;side;Valkyrie
Rafael;Rafael;Rafael;M;side;Guardian
Valon;Valon;Valon;M;side;Armor
Rebecca;Rebecca Hawkings;Rebecca Hopkings;F;side;Dragon
Noah;Noah Kaiba;Noah Kaiba;M;side;Spirit
Dartz;Dartz;Dartz;M;villain;Orichalcos
gx
Alexis;Alexis Rhodes;Asuka Tenjoin;F;main;Cyber Angel
Jaden;Jaden Yuki;Judai Yuki;M;main;Elemental HERO/Neo Spacian
Aster;Aster Phoenix;Edo Phoenix;M;villain;Destiny HERO
Chazz;Chazz Princeton;Jun Manjoume;M;main;Ojama/Union/Armed Dragon
Kagemaru;Kagemaru;Kagemaru;M;villain;Sacred Beast
Jesse;Jesse Anderson;Johan Andersen;M;main;Crystal Beast
Sartorius;Sartorius;Saiou Takuma;M;villain;Arcana Force
Tyranno;Tyranno Hassleberry;Tyranno Kenzan;M;main;Dinosaur
Syrus;Syrus Truesdale;Sho Marufuji;M;main;Vehicroid
Bastion;Bastion Misawa;Daichi Misawa;M;main;Water Dragon/Magnet Warrior
Jim;Jim Crocodile Cook;Jim Crocodile Cook;M;main;Fossil
Crowler;Vellian Crowler;Cronos de Medici;M;main;Ancient Gear
Zane;Zane Truesdale;Ryo Marufuji;M;villain;Cyber Dragon/Cyberdark
Atticus;Atticus Rhodes;Fubuki Tenjoin;M;side;Red-Eyes/Sphere
Axel;Axel Brodie;Austin O'Brien;M;main;Volcanic
Nightshroud;Nightshroud;Darkness;M;villain;Darkness
Bob;Bob Banter;Kanda Tsugio;M;side;Quiz Panel
Lorenzo;Lorenzo;Ryusei Gin;M;side;B.E.S.
Sarina;Sarina;Sarina Mizuchi;F;side;Mirror
Brigade;The Light Brigade;The Four Monarchs;M;side;Monarch
Belowski;Belowski;Motegi Mokeo;M;side;Mokey Mokey
fiveds
Yusei;Yusei Fudo;Yusei Fudo;M;main;Junk/Synchron
Jack;Jack Atlas;Jack Atlas;M;main;Red/Resonator
Crow;Crow Hogan;Crow Hogan;M;main;Blackwing
Akiza;Akiza Izinski;Aki Izayoi;F;main;Plant
Luna;Luna;Ruka;F;main;Pixie
Leo;Leo;Lua;M;main;Morphtronic
Kalin;Kalin Kessler;Kiryou Kyosuke;M;main;Infernity
